row	id	title	body
1	RV10001	Terrible quality	I bought this blender two weeks ago and the motor already burned out. Completely waste of money and very poor build quality.
2	RV10002	Size question	Does this jacket run true to size or should I order one size up? The size chart on the listing is confusing.
3	RV10003	Love this product	This is hands down the best coffee maker I have ever owned. Brews fast and the coffee tastes amazing every single time.
4	RV10004	Better packaging needed	The company should use more protective packaging for fragile items. My last two orders arrived with dented boxes and scratched surfaces.
5	RV10005	Exchange needed	The shoes I received are the wrong size. I would like to exchange them for a size 10 instead. Please send me the return instructions.
6	RV10006	Disappointing purchase	The noise-canceling headphones I ordered barely block any sound. The description was misleading and I feel completely ripped off.
7	RV10007	Material question	What type of fabric is used for the lining of this winter coat? I have sensitive skin and need to check for allergens.
8	RV10008	Exceeded expectations	I was skeptical about ordering furniture online but the dining table arrived in perfect condition and looks even better than the photos.
9	RV10009	Wider color options	It would be great if this backpack came in more color options. Right now there are only black and grey which feels very limited.
10	RV10010	Replacement needed	The screen protector I received has a visible crack right out of the box. Please send me a replacement as soon as possible.
11	RV10011	False advertising	The smartwatch battery was advertised as lasting five days but it barely makes it through one full day. This is completely misleading.
12	RV10012	Compatibility check	Will this laptop charger work with the 2024 model or is it only compatible with older versions? I want to confirm before purchasing.
13	RV10013	Outstanding quality	The leather wallet I ordered is beautifully crafted with excellent stitching. You can tell this is a premium product worth every penny.
14	RV10014	Easier returns please	The return process is too complicated and requires printing labels. An option to drop off returns at a nearby location would be much more convenient.
15	RV10015	Cancel my order	I placed an order by mistake about an hour ago. Please cancel order number ORD-88421 before it ships and issue a full refund.
16	RV10016	Defective item	The electric kettle I received has a broken lid that does not close properly. This is a safety hazard and completely unacceptable.
17	RV10017	Ingredient list	Could you share the full list of ingredients for this skincare product? I want to make sure it does not contain parabens or sulfates.
18	RV10018	Great customer service	I had an issue with my order and the support team resolved it within minutes. Truly impressed with how professional and quick they were.
19	RV10019	Subscription option	You should offer a monthly subscription plan for consumable products like coffee pods and filters. It would save customers time on reordering.
20	RV10020	Refund for damaged item	The mirror I ordered arrived shattered into pieces despite being marked as fragile. I need a full refund processed to my original payment method.
21	RV10021	Overpriced for quality	For the price I paid I expected much better quality. The zipper on this bag broke after only three uses and the fabric feels very cheap.
22	RV10022	Shipping times	How long does standard shipping take to Eastern Canada? I need this item by next Friday and want to know if I should upgrade to express.
23	RV10023	Highly recommend	I have been using this air purifier for a month now and the difference in air quality is noticeable. My allergies have improved significantly.
24	RV10024	Gift wrapping	Adding a gift wrapping option at checkout would be a great idea especially during the holiday season. I would happily pay a few extra dollars for it.
25	RV10025	Price match request	I noticed the same product is available for fifteen dollars less on another website. Could you match that price or offer a discount code?
